Name,FromDate,ToDate,Position,Height,Weight,Born,College,URL,Shoots,DOB,Deceased
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,http://basketball-reference.com/players/a/adamsmi01.html, Right,1963-01-19,
Steven Adams,2014,2015,C,7-0,250,"July 28, 1993",University of Pittsburgh,http://basketball-reference.com/players/a/adamsst01.html, Right,1993-07-28,
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,http://basketball-reference.com/players/a/addisra01.html, Right,1964-07-22,
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,http://basketball-reference.com/players/a/adelmri01.html, Right,1946-06-16,
Jeff Adrien,2011,2015,F,6-7,243,"February 10, 1986",University of Connecticut,http://basketball-reference.com/players/a/adrieje01.html, Right,1986-02-10,
Arron Afflalo,2008,2015,G,6-5,215,"October 15, 1985","University of California, Los Angeles",http://basketball-reference.com/players/a/afflaar01.html, Right,1985-10-15,
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,http://basketball-reference.com/players/a/agerma01.html, Right,1984-02-09,
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,http://basketball-reference.com/players/a/aguirma01.html, Right,1959-12-10,
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,http://basketball-reference.com/players/a/ahearbl01.html, Right,1984-05-27,
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,http://basketball-reference.com/players/a/aingeda01.html, Right,1959-03-17,
Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,http://basketball-reference.com/players/a/aitchma01.html, Right,1944-09-21,2007-04-04
Alexis Ajinca,2009,2015,C,7-0,220,"May 6, 1988", ,http://basketball-reference.com/players/a/ajincal01.html, Right,1988-05-06,
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,http://basketball-reference.com/players/a/akinhe01.html, Right,1944-07-31,
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",http://basketball-reference.com/players/a/akognjo01.html, Right,1986-02-10,
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,http://basketball-reference.com/players/a/alabiso01.html, Right,1988-03-21,
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,http://basketball-reference.com/players/a/alarima01.html, Right,1963-12-11,
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",http://basketball-reference.com/players/a/alcorga01.html, Right,1936-10-08,2006-11-29
Furkan Aldemir,2015,2015,F-C,6-9,229,"August 9, 1991", ,http://basketball-reference.com/players/a/aldemfu01.html, Right,1991-08-09,
Cole Aldrich,2011,2015,C,6-11,245,"October 31, 1988",University of Kansas,http://basketball-reference.com/players/a/aldrico01.html, Right,1988-10-31,
LaMarcus Aldridge,2007,2015,F,6-11,240,"July 19, 1985",University of Texas at Austin,http://basketball-reference.com/players/a/aldrila01.html, Right,1985-07-19,
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,http://basketball-reference.com/players/a/aleksch01.html, Right,1959-02-26,
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,http://basketball-reference.com/players/a/alexaco01.html, Right,1973-06-22,
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",http://basketball-reference.com/players/a/alexaco02.html, Right,1977-04-27,
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,http://basketball-reference.com/players/a/alexaga01.html, Right,1969-11-01,
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,http://basketball-reference.com/players/a/alexajo01.html, Right,1986-12-26,
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,http://basketball-reference.com/players/a/alexavi01.html, Right,1969-08-31,
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,http://basketball-reference.com/players/a/alforst01.html, Right,1964-11-23,
Bill Allen,1968,1968,C-F,6-8,205, ,New Mexico State University,http://basketball-reference.com/players/a/allenbi01.html, Right,,
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,http://basketball-reference.com/players/a/allenbo01.html, Right,1946-07-17,
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,http://basketball-reference.com/players/a/allenje01.html, Right,1973-01-28,
Lavoy Allen,2012,2015,F,6-9,225,"February 4, 1989",Temple University,http://basketball-reference.com/players/a/allenla01.html, Right,1989-02-04,
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",http://basketball-reference.com/players/a/allenlu01.html, Right,1947-09-26,
Malik Allen,2002,2011,F,6-10,255,"June 27, 1978",Villanova University,http://basketball-reference.com/players/a/allenma01.html, Right,1978-06-27,
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,http://basketball-reference.com/players/a/allenra01.html, Right,1965-01-26,
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,http://basketball-reference.com/players/a/allenra02.html, Right,1975-07-20,
Tony Allen,2005,2015,G,6-4,213,"January 11, 1982",Oklahoma State University,http://basketball-reference.com/players/a/allento01.html, Right,1982-01-11,
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,http://basketball-reference.com/players/a/allenwi01.html, Right,1949-02-08,
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",http://basketball-reference.com/players/a/allisod01.html, Right,1949-10-02,
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,http://basketball-reference.com/players/a/allrela01.html, Right,1981-02-02,
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",http://basketball-reference.com/players/a/allumda01.html, Right,1958-09-12,
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,http://basketball-reference.com/players/a/almonmo01.html, Right,1985-02-02,
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,http://basketball-reference.com/players/a/alstode01.html, Right,1972-08-20,
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",http://basketball-reference.com/players/a/alstora01.html, Right,1976-07-24,
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,http://basketball-reference.com/players/a/alumape01.html, Right,1973-04-23,
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,http://basketball-reference.com/players/a/amaecjo01.html, Right,1970-11-26,
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,http://basketball-reference.com/players/a/amayaas01.html, Right,1971-11-23,
Al-Farouq Aminu,2011,2015,F,6-9,215,"September 21, 1990",Wake Forest University,http://basketball-reference.com/players/a/aminual01.html, Right,1990-09-21,
Louis Amundson,2007,2015,F,6-9,225,"December 7, 1982","University of Nevada, Las Vegas",http://basketball-reference.com/players/a/amundlo01.html, Right,1982-12-07,
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,http://basketball-reference.com/players/a/anderbo01.html, Right,1937-08-24,
Chris Andersen,2002,2015,F,6-10,230,"July 7, 1978",Blinn College,http://basketball-reference.com/players/a/anderch01.html, Right,1978-07-07,
David Andersen,2010,2011,C,6-11,245,"June 23, 1980", ,http://basketball-reference.com/players/a/anderda03.html, Right,1980-06-23,
Alan Anderson,2006,2015,G-F,6-6,220,"October 16, 1982",Michigan State University,http://basketball-reference.com/players/a/anderal01.html, Right,1982-10-16,
Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,http://basketball-reference.com/players/a/anderan01.html, Right,1945-07-06,
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,http://basketball-reference.com/players/a/anderan02.html, Right,1985-06-05,
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,http://basketball-reference.com/players/a/andercl01.html, Right,1944-09-07,
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,http://basketball-reference.com/players/a/anderda01.html, Right,1943-02-15,
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,http://basketball-reference.com/players/a/anderda02.html, Right,1951-01-01,
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,http://basketball-reference.com/players/a/anderde01.html, Right,1974-07-18,
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,http://basketball-reference.com/players/a/anderdw01.html, Right,1960-12-28,
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,http://basketball-reference.com/players/a/anderer01.html, Right,1970-05-26,
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,http://basketball-reference.com/players/a/andergr01.html, Right,1964-06-22,
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,http://basketball-reference.com/players/a/anderjj01.html, Right,1960-09-23,
James Anderson,2011,2014,G,6-6,215,"March 25, 1989",Oklahoma State University,http://basketball-reference.com/players/a/anderja01.html, Right,1989-03-25,
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,http://basketball-reference.com/players/a/anderje01.html, Right,1953-10-09,2009-08-01
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,http://basketball-reference.com/players/a/anderke01.html, Left,1970-10-09,
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,http://basketball-reference.com/players/a/anderki01.html, Right,1955-05-12,
Kyle Anderson,2015,2015,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles",http://basketball-reference.com/players/a/anderky01.html, Right,1993-09-20,
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,http://basketball-reference.com/players/a/andermi01.html, Right,1966-03-23,
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/a/anderni01.html, Right,1968-01-20,
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",http://basketball-reference.com/players/a/anderri01.html, Right,1960-11-19,
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",http://basketball-reference.com/players/a/anderro01.html, Right,1958-10-15,
Ryan Anderson,2009,2015,F,6-10,240,"May 6, 1988",University of California,http://basketball-reference.com/players/a/anderry01.html, Right,1988-05-06,
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,http://basketball-reference.com/players/a/andersh01.html, Right,1973-12-31,
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,http://basketball-reference.com/players/a/anderwi01.html, Right,1967-01-08,
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,http://basketball-reference.com/players/a/anderwa01.html, Right,1946-01-11,1989-05-28
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986", ,http://basketball-reference.com/players/a/andrima01.html, Right,1986-03-12,
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,http://basketball-reference.com/players/a/anieldo01.html, Right,1930-11-01,1995-11-19
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,http://basketball-reference.com/players/a/anslemi01.html, Right,1967-02-08,
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975", ,http://basketball-reference.com/players/a/anstech01.html, Right,1975-01-01,
Giannis Antetokounmpo,2014,2015,G-F,6-11,217,"December 6, 1994", ,http://basketball-reference.com/players/a/antetgi01.html, Right,1994-12-06,
Carmelo Anthony,2004,2015,F,6-8,230,"May 29, 1984",Syracuse University,http://basketball-reference.com/players/a/anthoca01.html, Right,1984-05-29,
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",http://basketball-reference.com/players/a/anthogr01.html, Left,1967-11-15,
Joel Anthony,2008,2015,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",http://basketball-reference.com/players/a/anthojo01.html, Left,1982-08-09,
Pero Antic,2014,2015,F,6-11,260,"July 29, 1982", ,http://basketball-reference.com/players/a/anticpe01.html, Right,1982-07-29,
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,http://basketball-reference.com/players/a/araujra01.html, Right,1980-08-12,
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,http://basketball-reference.com/players/a/arcenst01.html, Right,1936-02-17,
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/a/archiro01.html, Right,1980-03-29,
Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,http://basketball-reference.com/players/a/architi01.html, Left,1948-09-02,
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,http://basketball-reference.com/players/a/ardji01.html, Right,1948-09-19,
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,http://basketball-reference.com/players/a/arenagi01.html, Right,1982-01-06,
Trevor Ariza,2005,2015,F,6-8,200,"June 30, 1985","University of California, Los Angeles",http://basketball-reference.com/players/a/arizatr01.html, Right,1985-06-30,
Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,http://basketball-reference.com/players/a/arizipa01.html, Right,1928-04-09,2006-12-12
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,http://basketball-reference.com/players/a/arlaujo01.html, Right,1965-07-20,
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,http://basketball-reference.com/players/a/armstbj01.html, Right,1967-09-09,
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,http://basketball-reference.com/players/a/armstbo01.html, Right,1933-06-17,
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,http://basketball-reference.com/players/a/armstbr01.html, Left,1980-06-16,
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,http://basketball-reference.com/players/a/armstcu01.html, Right,1918-11-01,1983-06-06
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,http://basketball-reference.com/players/a/armstda01.html, Right,1968-06-22,
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,http://basketball-reference.com/players/a/armsthi01.html, Right,1984-11-11,
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,http://basketball-reference.com/players/a/armstta01.html, Right,1955-10-05,
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,http://basketball-reference.com/players/a/arnelje01.html, Right,1933-12-30,
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,http://basketball-reference.com/players/a/arnetja01.html, Right,1938-12-19,
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,http://basketball-reference.com/players/a/arnzebo01.html, Right,1947-11-03,
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,http://basketball-reference.com/players/a/arroyca01.html, Right,1979-07-30,
Darrell Arthur,2009,2015,F,6-9,225,"March 25, 1988",University of Kansas,http://basketball-reference.com/players/a/arthuda01.html, Right,1988-03-25,
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,http://basketball-reference.com/players/a/arthujo01.html, Right,1947-08-15,
Omer Asik,2011,2015,C,7-0,255,"July 4, 1986", ,http://basketball-reference.com/players/a/asikom01.html, Right,1986-07-04,
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,http://basketball-reference.com/players/a/askewvi01.html, Right,1966-02-28,
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,http://basketball-reference.com/players/a/askinke01.html, Right,1967-12-15,
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,http://basketball-reference.com/players/a/asmondo01.html, Right,1928-02-15,2014-01-13
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,http://basketball-reference.com/players/a/athadi01.html, Right,1931-09-21,
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,http://basketball-reference.com/players/a/atkinch01.html, Right,1974-08-14,
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,http://basketball-reference.com/players/a/attleal01.html, Right,1936-11-07,
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,http://basketball-reference.com/players/a/aubucch01.html, Right,1916-05-18,2005-04-14
Stacey Augmon,1992,2006,F-G,6-6,205,"August 1, 1968","University of Nevada, Las Vegas",http://basketball-reference.com/players/a/augmost01.html, Left,1968-08-01,
D.J. Augustin,2009,2015,G,6-0,180,"November 10, 1987",University of Texas at Austin,http://basketball-reference.com/players/a/augusdj01.html, Right,1987-11-10,
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/a/augusja01.html, Left,1984-02-27,
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,http://basketball-reference.com/players/a/austiis01.html, Right,1969-08-18,
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,http://basketball-reference.com/players/a/austijo01.html, Right,1944-08-31,
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,http://basketball-reference.com/players/a/austike01.html, Right,1961-07-15,
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,http://basketball-reference.com/players/a/aventan01.html, Right,1969-10-18,
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,http://basketball-reference.com/players/a/averibi01.html, Left,1952-07-22,
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,http://basketball-reference.com/players/a/averywi01.html, Right,1979-08-08,
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,http://basketball-reference.com/players/a/awtrede01.html, Right,1948-02-22,
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985", ,http://basketball-reference.com/players/a/ayongu01.html, Right,1985-04-01,
Jeff Ayres,2010,2015,F,6-9,240,"April 29, 1987",Arizona State University,http://basketball-reference.com/players/p/pendeje02.html, Right,1987-04-29,
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,http://basketball-reference.com/players/a/azubuke01.html, Right,1983-12-16,
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,http://basketball-reference.com/players/b/babbch01.html, Right,1990-02-14,
Luke Babbitt,2011,2015,F,6-9,225,"June 20, 1989","University of Nevada, Reno",http://basketball-reference.com/players/b/babbilu01.html, Right,1989-06-20,
Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,http://basketball-reference.com/players/b/babicmi01.html, Right,1968-11-23,
Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,http://basketball-reference.com/players/b/bachjo01.html, Right,1924-07-10,
Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,http://basketball-reference.com/players/b/baconhe01.html, Right,1948-07-05,
Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,http://basketball-reference.com/players/b/baechji01.html, Right,1927-12-09,2011-08-29
Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980", ,http://basketball-reference.com/players/b/bagarda01.html, Right,1980-02-07,
John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,http://basketball-reference.com/players/b/baglejo01.html, Right,1960-04-23,
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,http://basketball-reference.com/players/b/baileca01.html, Right,1958-04-23,
Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,http://basketball-reference.com/players/b/bailegu01.html, Right,1951-02-18,1988-11-28
James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,http://basketball-reference.com/players/b/baileja01.html, Right,1957-05-21,
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,http://basketball-reference.com/players/b/baileth01.html, Right,1961-04-07,
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",http://basketball-reference.com/players/b/baileto01.html, Right,1975-11-19,
Cameron Bairstow,2015,2015,F,6-9,250,"December 7, 1990",University of New Mexico,http://basketball-reference.com/players/b/bairsca01.html, Right,1990-12-07,
Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,http://basketball-reference.com/players/b/bakerji01.html, Right,1953-12-25,
LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,http://basketball-reference.com/players/b/bakerla01.html, Right,1969-11-11,
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,http://basketball-reference.com/players/b/bakerma01.html, Right,1979-07-28,
Norm Baker,1947,1947,G,6-0,180,"February 17, 1923", ,http://basketball-reference.com/players/b/bakerno01.html, Right,1923-02-17,
Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,http://basketball-reference.com/players/b/bakervi01.html, Right,1971-11-23,
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,http://basketball-reference.com/players/b/balkmre01.html, Right,1984-07-14,
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,http://basketball-reference.com/players/b/ballce01.html, Right,1968-04-16,
Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,http://basketball-reference.com/players/b/ballagr01.html, Right,1955-01-29,
Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,http://basketball-reference.com/players/b/baltihe01.html, Right,1921-06-21,1968-01-01
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,http://basketball-reference.com/players/b/banksge01.html, Right,1959-05-15,
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",http://basketball-reference.com/players/b/banksma01.html, Right,1981-11-19,
Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,http://basketball-reference.com/players/b/bankswa01.html, Right,1947-08-26,
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College,http://basketball-reference.com/players/b/bannike01.html, Right,1960-04-01,
Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,http://basketball-reference.com/players/b/bantomi01.html, Right,1951-12-03,
John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",http://basketball-reference.com/players/b/barbejo01.html, Right,1927-06-27,
Leandro Barbosa,2004,2015,G,6-3,176,"November 28, 1982", ,http://basketball-reference.com/players/b/barbole01.html, Right,1982-11-28,
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,http://basketball-reference.com/players/b/bardost01.html, Right,1968-04-05,
Jose Barea,2007,2015,G,6-0,175,"June 26, 1984",Northeastern University,http://basketball-reference.com/players/b/bareajo01.html, Right,1984-06-26,
Andrea Bargnani,2007,2015,F,7-0,225,"October 26, 1985", ,http://basketball-reference.com/players/b/bargnan01.html, Right,1985-10-26,
Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,http://basketball-reference.com/players/b/barkecl01.html, Right,1921-01-15,1998-03-17
Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,http://basketball-reference.com/players/b/barketo01.html, Right,1955-03-11,
Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,http://basketball-reference.com/players/b/barklch01.html, Right,1963-02-20,
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,http://basketball-reference.com/players/b/barkler01.html, Right,1978-02-21,
Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",http://basketball-reference.com/players/b/barksdo01.html, Right,1923-03-31,1993-03-08
Harrison Barnes,2013,2015,F,6-8,210,"May 30, 1992",University of North Carolina,http://basketball-reference.com/players/b/barneha02.html, Right,1992-05-30,
Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,http://basketball-reference.com/players/b/barneha01.html, Right,1945-07-25,
Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,http://basketball-reference.com/players/b/barneji01.html, Right,1941-04-13,2002-09-14
